------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
------------------------------


--------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N
         H2O                 	enhanced by	   6.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


     73. H2 + CO (+M)  = CH2O (+M) 
         Fall-off (Troe)
         k0:      5.070000e+27	   -3.42      84348.00
         kInf:    4.300000e+07	    1.50      79600.00
         Troe Parameters
         a    9.32e-01
         T*** 1.97e+02
         T*   1.54e+03
         T**  1.03e+04
         Third body efficiencies
         H2                  	enhanced by	   2.000
         H2O                 	enhanced by	   6.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


     74. O2 + CH2O  = HO2 + HCO 
         k:       8.070000e+15	    0.00      53420.00


     75. O + CH2O  = OH + HCO 
         k:       6.260000e+09	    1.15       2260.00


     76. H + CH2O  = H2 + HCO 
         k:       5.740000e+07	    1.90       2740.00


     77. OH + CH2O  = H2O + HCO 
         k:       7.820000e+07	    1.63      -1055.00


     78. HO2 + CH2O  = H2O2 + HCO 
         k:       1.880000e+04	    2.70      11520.00


     79. CH3 + CH2O  = CH4 + HCO 
         k:       3.830000e+01	    3.36       4312.00


     80. CH3O + CH2O  = CH3OH + HCO 
         k:       6.620000e+11	    0.00       2294.00


     81. HCO +M  = H + CO +M 
         k:       5.700000e+11	    0.66      14870.00
         Third body efficiencies
         H2                  	enhanced by	   2.000
         H2O                 	enhanced by	   6.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


     82. O2 + HCO  = HO2 + CO 
         k:       7.580000e+12	    0.00        410.00


     83. O + HCO  = OH + CO 
         k:       3.020000e+13	    0.00          0.00


     84. H + HCO  = H2 + CO 
         k:       7.340000e+13	    0.00          0.00


     85. OH + HCO  = H2O + CO 
         k:       3.011000e+13	    0.00          0.00


     86. CH3 + HCO  = CH4 + CO 
         k:       2.650000e+13	    0.00          0.00


     87. 2HCO  = CO + CH2O 
         k:       1.800000e+13	    0.00          0.00


     88. O + HCO  = H + CO2 
         k:       3.000000e+13	    0.00          0.00


     89. HO2 + HCO  => H + OH + CO2 
         k:       3.000000e+13	    0.00          0.00


     90. 2HCO  => H2 + 2CO 
         k:       3.000000e+12	    0.00          0.00


     91. H + CH2O (+M)  = CH2OH (+M) 
         Fall-off (Troe)
         k0:      1.270000e+32	   -4.82       6530.00
         kInf:    5.400000e+11	    0.45       3600.00
         Troe Parameters
         a    7.19e-01
         T*** 1.03e+02
         T*   1.29e+03
         T**  4.16e+03
         Third body efficiencies
         H2                  	enhanced by	   2.000
         H2O                 	enhanced by	   6.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


     92. CH3O (+M)  = H + CH2O (+M) 
         Fall-off (Troe)
         k0:      1.870000e+25	   -3.00      24307.00
         kInf:    6.800000e+13	    0.00      26170.00
         Troe Parameters
         a    9.00e-01
         T*** 2.50e+03
         T*   1.30e+03
         T**  1.00e+99
         Third body efficiencies
         H2                  	enhanced by	   2.000
         H2O                 	enhanced by	   6.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


     93. HOCHO  = H2O + CO 
         k:       2.450000e+12	    0.00      60470.00


     94. HOCHO  = H2 + CO2 
         k:       2.950000e+09	    0.00      48520.00


     95. HOCHO + H  => H2 + H + CO2 
         k:       4.240000e+06	    2.10       4868.00


     96. HOCHO + H  => H2 + OH + CO 
         k:       6.030000e+13	   -0.35       2988.00


     97. HOCHO + O  => 2OH + CO 
         k:       1.770000e+18	   -1.90       2975.00


     98. HOCHO + OH  => H + H2O + CO2 
         k:       2.620000e+06	    2.06        916.00


     99. HOCHO + OH  => H2O + OH + CO 
         k:       1.850000e+07	    1.51       -962.00


    100. HOCHO + CH3  => CH4 + OH + CO 
         k:       3.900000e-07	    5.80       2200.00


    101. HOCHO + HO2  => OH + H2O2 + CO 
         k:       1.000000e+12	    0.00      11920.00


    102. 2CH3 (+M)  = C2H6 (+M) 
         Fall-off (Troe)
         k0:      8.050000e+31	   -3.75        981.60
         kInf:    2.277000e+15	   -0.69        174.90
         Troe Parameters
         a    0.00e+00
         T*** 5.70e+02
         T*   1.00e+30
         T**  1.00e+30
         Third body efficiencies
         H2O                 	enhanced by	   5.000
         CO                  	enhanced by	   2.000
         CO2                 	enhanced by	   3.000


    103. H + C2H5 (+M)  = C2H6 (+M) 
         Fall-off (Troe)
         k0:      1.990000e+41	   -7.08       6685.00
         kInf:    5.210000e+17	   -0.99       1580.00
         Troe Parameters
         a    8.42e-01
         T*** 1.25e+02
         T*   2.22e+03
         T**  6.88e+03
         Third body efficiencies
         H2                  	enhanced by	   2.000
         H2O                 	enhanced by	   6.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


    104. C2H6 + O2  = HO2 + C2H5 
         k:       6.030000e+13	    0.00      51870.00


    105. C2H6 + O  = OH + C2H5 
         k:       3.550000e+06	    2.40       5830.00


    106. C2H6 + H  = H2 + C2H5 
         k:       1.150000e+08	    1.90       7530.00


    107. C2H6 + OH  = H2O + C2H5 
         k:       1.480000e+07	    1.90        950.00


    108. C2H6 + HO2  = H2O2 + C2H5 
         k:       3.460000e+01	    3.61      16920.00


    109. C2H6 + CH3  = CH4 + C2H5 
         k:       5.550000e-04	    4.72       3231.00


    110. C2H6 + CH3O  = CH3OH + C2H5 
         k:       2.410000e+11	    0.00       7090.00


    111. H + C2H4 (+M)  = C2H5 (+M) 
         Fall-off (Troe)
         k0:      1.420000e+39	   -6.64       5769.00
         kInf:    9.569000e+08	    1.46       1355.00
         Troe Parameters
         a    -5.69e-01
         T*** 2.99e+02
         T*   -9.15e+03
         T**  1.52e+02
         Third body efficiencies
         H2                  	enhanced by	   2.000
         H2O                 	enhanced by	   6.000
         CH4                 	enhanced by	   2.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


    112. H + C2H5  = H2 + C2H4 
         k:       2.000000e+12	    0.00          0.00


    113. 2C2H4  = C2H5 + C2H3 
         k:       4.820000e+14	    0.00      71530.00


    114. CH3 + C2H5  = CH4 + C2H4 
         k:       1.180000e+04	    2.45      -2921.00


    115. O + C2H5  = H + CH3CHO 
         k:       1.100000e+14	    0.00          0.00


    116. 2CH3  = H + C2H5 
         k:       4.740000e+12	    0.10      10664.30
         Pressure Logarithmic Interpolation
         1	1.000000e-02	4.740000e+12	    0.10      10664.30
         2	1.000000e-01	2.570000e+13	   -0.10      11406.10
         3	1.000000e+00	3.100000e+14	   -0.36      13372.50
         4	1.000000e+01	2.150000e+10	    0.89      13532.50
         5	1.000000e+02	1.032000e+02	    3.23      11236.10


    117. O2 + C2H5  = HO2 + C2H4 
         k:       2.094000e+09	    0.49       -391.40
         Pressure Logarithmic Interpolation
         1	4.000000e-02	2.094000e+09	    0.49       -391.40
         2	1.000000e+00	1.843000e+07	    1.13       -720.60
         3	1.000000e+01	7.561000e+14	   -1.01       4749.00


    118. O2 + C2H5  = OH + CH3CHO 
         k:       4.908000e-06	    4.76        254.30
         Pressure Logarithmic Interpolation
         1	4.000000e-02	4.908000e-06	    4.76        254.30
         2	1.000000e+00	6.803000e-02	    3.57       2643.00
         3	1.000000e+01	8.265000e+02	    2.41       5285.00


    119. H + C2H3 (+M)  = C2H4 (+M) 
         Fall-off (Troe)
         k0:      1.400000e+30	   -3.86       3320.00
         kInf:    6.080000e+12	    0.27        280.00
         Troe Parameters
         a    7.82e-01
         T*** 2.08e+02
         T*   2.66e+03
         T**  6.10e+03
         Third body efficiencies
         H2                  	enhanced by	   2.000
         H2O                 	enhanced by	   6.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


    120. C2H4 +M  = H2 + C2H2 +M 
         k:       2.610000e+16	    0.00      67823.00
         Third body efficiencies
         H2                  	enhanced by	   2.000
         H2O                 	enhanced by	   6.000
         CH4                 	enhanced by	   2.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


    121. O2 + C2H4  = HO2 + C2H3 
         k:       4.220000e+13	    0.00      57623.10


    122. H + C2H4  = H2 + C2H3 
         k:       5.070000e+07	    1.93      12950.00


    123. OH + C2H4  = H2O + C2H3 
         k:       2.230000e+04	    2.75       2215.50


    124. CH3O + C2H4  = CH3OH + C2H3 
         k:       1.200000e+11	    0.00       6750.00


    125. CH3 + C2H4  = CH4 + C2H3 
         k:       9.760000e+02	    2.95      15148.00


    126. CH3 + C2H4  = CH4 + C2H3 
         k:       8.130000e-05	    4.42       8835.80


    127. O + C2H4  = CH3 + HCO 
         k:       7.453000e+06	    1.88        183.00


    128. O + C2H4  = H + CH2CHO 
         k:       6.098000e+06	    1.88        183.00


    129. OH + C2H4  = CH3 + CH2O 
         k:       5.350000e+00	    2.92      -1732.70
         Pressure Logarithmic Interpolation
         1	1.000000e-02	5.350000e+00	    2.92      -1732.70
         2	2.500000e-02	3.190000e+01	    2.71      -1172.30
         3	1.000000e-01	5.550000e+02	    2.36       -180.80
         4	1.000000e+00	1.780000e+05	    1.68       2060.50
         5	1.000000e+01	2.370000e+09	    0.56       6006.70
         6	1.000000e+02	2.760000e+13	   -0.50      11455.10


    130. OH + C2H4  = H + CH3CHO 
         k:       2.370000e-07	    5.30      -2050.60
         Pressure Logarithmic Interpolation
         1	1.000000e-02	2.370000e-07	    5.30      -2050.60
         2	2.500000e-02	8.730000e-05	    4.57       -618.00
         3	1.000000e-01	4.030000e-01	    3.54       1881.70
         4	1.000000e+00	2.380000e-02	    3.91       1722.70
         5	1.000000e+01	8.250000e+08	    1.01      10507.30
         6	1.000000e+02	6.800000e+09	    0.81      13867.30


    131. H + C2H2 (+M)  = C2H3 (+M) 
         Fall-off (Troe)
         k0:      6.350000e+31	   -4.66       3780.00
         kInf:    1.710000e+10	    1.27       2709.00
         Troe Parameters
         a    7.88e-01
         T*** -1.02e+04
         T*   1.00e-30
         T**  0.00e+00
         Third body efficiencies
         H2                  	enhanced by	   2.000
         H2O                 	enhanced by	   6.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


    132. O2 + C2H3  = O + CH2CHO 
         k:       1.760000e+12	    0.15       4205.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	7.880000e+20	   -2.67       6742.00
         2	1.000000e-01	7.720000e+20	   -2.67       6713.00
         3	3.160000e-01	9.870000e+20	   -2.70       6724.00
         4	1.000000e+00	7.100000e+20	   -2.65       6489.00
         5	3.160000e+00	4.500000e+20	   -2.53       6406.00
         6	1.000000e+01	1.760000e+23	   -3.22       8697.00
         7	3.160000e+01	3.140000e+25	   -3.77      11530.00
         8	1.000000e+02	1.020000e+26	   -3.80      13910.00


    133. O2 + C2H3  = O + CH2CHO 
         k:       1.760000e+12	    0.15       4205.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	1.360000e+10	    0.62       -277.60
         2	1.000000e-01	1.420000e+10	    0.62       -247.70
         3	3.160000e-01	1.660000e+10	    0.60       -162.50
         4	1.000000e+00	2.020000e+10	    0.58         38.40
         5	3.160000e+00	9.750000e+09	    0.67        248.00
         6	1.000000e+01	7.340000e+09	    0.72        778.10
         7	3.160000e+01	1.570000e+09	    0.92       1219.00
         8	1.000000e+02	7.850000e+07	    1.28       1401.00


    134. O2 + C2H3  = HO2 + C2H2 
         k:       6.490000e+06	    1.50       5218.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	1.080000e+07	    1.28       3322.00
         2	1.000000e-01	7.750000e+06	    1.33       3216.00
         3	3.160000e-01	1.210000e+07	    1.27       3311.00
         4	1.000000e+00	2.150000e+07	    1.19       3367.00
         5	3.160000e+00	1.130000e+08	    1.00       3695.00
         6	1.000000e+01	1.310000e+11	    0.12       5872.00
         7	3.160000e+01	1.190000e+09	    0.82       5617.00
         8	1.000000e+02	1.060000e+17	   -1.45      12230.00


    135. O2 + C2H3  = HO2 + C2H2 
         k:       6.490000e+06	    1.50       5218.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	4.760000e+01	    2.75       -796.40
         2	1.000000e-01	5.160000e+01	    2.73       -768.30
         3	3.160000e-01	5.550000e+01	    2.73       -658.50
         4	1.000000e+00	4.600000e+01	    2.76       -492.80
         5	3.160000e+00	3.750000e+00	    3.07       -601.00
         6	1.000000e+01	5.480000e+00	    3.07         85.70
         7	3.160000e+01	4.470000e+08	    0.00        955.00
         8	1.000000e+02	2.020000e+01	    2.94       1847.00


    136. O2 + C2H3  = OH + CH2CO 
         k:       1.170000e+03	    2.43       7074.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	8.660000e+02	    2.41       6061.00
         2	1.000000e-01	8.910000e+02	    2.41       6078.00
         3	3.160000e-01	9.430000e+02	    2.40       6112.00
         4	1.000000e+00	1.060000e+03	    2.39       6180.00
         5	3.160000e+00	1.090000e+03	    2.38       6179.00
         6	1.000000e+01	1.390000e+03	    2.36       6074.00
         7	3.160000e+01	2.490000e+06	    1.42       8480.00
         8	1.000000e+02	1.660000e+10	    0.36      12010.00


    137. O2 + C2H3  = OH + CH2CO 
         k:       1.170000e+03	    2.43       7074.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	1.820000e-01	    3.12       1331.00
         2	1.000000e-01	2.070000e-01	    3.11       1383.00
         3	3.160000e-01	2.710000e-01	    3.08       1496.00
         4	1.000000e+00	5.260000e-01	    3.01       1777.00
         5	3.160000e+00	1.370000e+00	    2.90       2225.00
         6	1.000000e+01	4.190000e-01	    2.93       2052.00
         7	3.160000e+01	1.190000e-04	    4.21       2043.00
         8	1.000000e+02	1.300000e-03	    3.97       3414.00


    138. O2 + C2H3  = CH2O + HCO 
         k:       1.160000e+16	   -1.13       3791.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	2.490000e+36	   -7.60      12640.00
         2	1.000000e-01	2.430000e+36	   -7.60      12610.00
         3	3.160000e-01	1.950000e+36	   -7.57      12490.00
         4	1.000000e+00	2.730000e+35	   -7.32      11820.00
         5	3.160000e+00	1.430000e+36	   -7.47      12460.00
         6	1.000000e+01	5.180000e+35	   -7.20      13430.00
         7	3.160000e+01	3.190000e+20	   -2.57       5578.00
         8	1.000000e+02	2.730000e+33	   -6.28      16000.00


    139. O2 + C2H3  = CH2O + HCO 
         k:       1.160000e+16	   -1.13       3791.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	4.540000e+15	   -1.28        515.30
         2	1.000000e-01	4.590000e+15	   -1.28        513.00
         3	3.160000e-01	4.810000e+15	   -1.29        520.60
         4	1.000000e+00	6.080000e+15	   -1.31        645.70
         5	3.160000e+00	9.450000e+15	   -1.36       1066.00
         6	1.000000e+01	2.560000e+15	   -1.18       1429.00
         7	3.160000e+01	1.030000e+69	  -19.23      14760.00
         8	1.000000e+02	4.210000e+10	    0.19        830.60


    140. O2 + C2H3  => H + CO + CH2O 
         k:       1.160000e+16	   -1.13       3791.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	5.820000e+36	   -7.60      12640.00
         2	1.000000e-01	5.660000e+36	   -7.60      12610.00
         3	3.160000e-01	4.550000e+36	   -7.57      12490.00
         4	1.000000e+00	6.360000e+35	   -7.32      11820.00
         5	3.160000e+00	3.350000e+36	   -7.47      12460.00
         6	1.000000e+01	1.210000e+36	   -7.20      13430.00
         7	3.160000e+01	7.430000e+20	   -2.57       5578.00
         8	1.000000e+02	6.360000e+33	   -6.28      16000.00


    141. O2 + C2H3  => H + CO + CH2O 
         k:       1.160000e+16	   -1.13       3791.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	1.060000e+16	   -1.28        515.30
         2	1.000000e-01	1.070000e+16	   -1.28        513.00
         3	3.160000e-01	1.130000e+16	   -1.29        520.60
         4	1.000000e+00	1.420000e+16	   -1.31        645.70
         5	3.160000e+00	2.200000e+16	   -1.36       1066.00
         6	1.000000e+01	5.980000e+15	   -1.18       1429.00
         7	3.160000e+01	2.390000e+69	  -19.23      14760.00
         8	1.000000e+02	9.810000e+10	    0.19        830.60


    142. O2 + C2H3  = CO + CH3O 
         k:       3.090000e+13	   -0.89       3682.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	8.190000e+18	   -2.66       3201.00
         2	1.000000e-01	4.060000e+14	   -1.32        885.80
         3	3.160000e-01	4.340000e+14	   -1.33        900.60
         4	1.000000e+00	1.030000e+11	   -0.33       -747.80
         5	3.160000e+00	1.890000e+12	   -3.00      -8995.00
         6	1.000000e+01	1.930000e+24	   -5.63          1.80
         7	3.160000e+01	1.100000e+18	   -2.22       5178.00
         8	1.000000e+02	5.790000e+32	   -6.45      16810.00


    143. O2 + C2H3  = CO + CH3O 
         k:       3.090000e+13	   -0.89       3682.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	1.290000e+09	    0.18      -1717.00
         2	1.000000e-01	5.990000e+11	   -2.93      -9564.00
         3	3.160000e-01	2.910000e+11	   -2.93     -10120.00
         4	1.000000e+00	5.770000e+21	   -3.54       4772.00
         5	3.160000e+00	4.990000e+15	   -1.62       1849.00
         6	1.000000e+01	9.330000e+16	   -1.96       3324.00
         7	3.160000e+01	1.020000e+72	  -20.69      15860.00
         8	1.000000e+02	1.100000e+09	    0.31       1024.00


    144. O2 + C2H3  = CO2 + CH3 
         k:       6.160000e+13	   -1.05       3743.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	2.370000e+35	   -7.76      12630.00
         2	1.000000e-01	1.730000e+35	   -7.72      12520.00
         3	3.160000e-01	4.470000e+34	   -7.55      12140.00
         4	1.000000e+00	7.250000e+31	   -6.70      10440.00
         5	3.160000e+00	3.630000e+35	   -7.75      12830.00
         6	1.000000e+01	2.090000e+35	   -7.53      14050.00
         7	3.160000e+01	3.840000e+18	   -2.44       5408.00
         8	1.000000e+02	1.210000e+32	   -6.32      16190.00


    145. O2 + C2H3  = CO2 + CH3 
         k:       6.160000e+13	   -1.05       3743.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	6.270000e+13	   -1.16        406.30
         2	1.000000e-01	6.240000e+13	   -1.16        401.40
         3	3.160000e-01	6.120000e+13	   -1.16        397.00
         4	1.000000e+00	5.320000e+13	   -1.14        446.70
         5	3.160000e+00	1.450000e+14	   -1.26        987.70
         6	1.000000e+01	5.020000e+13	   -1.11       1409.00
         7	3.160000e+01	1.400000e+70	  -20.11      15430.00
         8	1.000000e+02	9.210000e+08	    0.25        855.30


    146. H + C2H3  = H2 + C2H2 
         k:       9.635300e+13	    0.00          0.00


    147. OH + C2H3  = H2O + C2H2 
         k:       3.011000e+13	    0.00          0.00


    148. CH3 + C2H3  = CH4 + C2H2 
         k:       3.920000e+11	    0.00          0.00


    149. 2C2H3  = C2H4 + C2H2 
         k:       9.600000e+11	    0.00          0.00


    150. H + C2H (+M)  = C2H2 (+M) 
         Fall-off (Troe)
         k0:      3.750000e+33	   -4.80       1900.00
         kInf:    1.000000e+17	   -1.00          0.00
         Troe Parameters
         a    6.46e-01
         T*** 1.32e+02
         T*   1.32e+03
         T**  5.57e+03
         Third body efficiencies
         H2                  	enhanced by	   2.000
         H2O                 	enhanced by	   6.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


    151. O + C2H2  = H + HCCO 
         k:       2.958000e+09	    1.28       2472.00


    152. HO2 + C2H2  = OH + CH2CO 
         k:       6.030000e+09	    0.00       7949.00


    153. HCO + C2H2  = CO + C2H3 
         k:       1.000000e+07	    2.00       6000.00


    154. C2H2 + HCCO  = CO + C3H3 
         k:       1.000000e+11	    0.00       3000.00


    155. OH + C2H2  = H2O + C2H 
         k:       2.632000e+06	    2.14      17060.00


    156. OH + C2H2  = H + CH2CO 
         k:       1.578000e+03	    2.56       -844.50
         Pressure Logarithmic Interpolation
         1	1.000000e-02	1.578000e+03	    2.56       -844.50
         2	2.500000e-02	1.518000e+04	    2.28       -292.10
         3	1.000000e-01	3.017000e+05	    1.92        598.10
         4	1.000000e+00	7.528000e+06	    1.55       2106.00
         5	1.000000e+01	5.101000e+06	    1.65       3400.00
         6	1.000000e+02	1.457000e+04	    2.45       4477.00


    157. OH + C2H2  = CO + CH3 
         k:       4.757000e+05	    1.68       -329.80
         Pressure Logarithmic Interpolation
         1	1.000000e-02	4.757000e+05	    1.68       -329.80
         2	2.500000e-02	4.372000e+06	    1.40        226.50
         3	1.000000e-01	7.648000e+07	    1.05       1115.00
         4	1.000000e+00	1.277000e+09	    0.73       2579.00
         5	1.000000e+01	4.312000e+08	    0.92       3736.00
         6	1.000000e+02	8.250000e+05	    1.77       4697.00


    158. O2 + C2H  = CO + HCO 
         k:       5.000000e+13	    0.00       1500.00


    159. H2 + C2H  = H + C2H2 
         k:       4.900000e+05	    2.50        560.00


    160. OH + C2H  = H + HCCO 
         k:       2.000000e+13	    0.00          0.00


    161. CH3CHO (+M)  = CH3 + HCO (+M) 
         Fall-off (Troe)
         k0:      1.030000e+59	  -11.30      95912.50
         kInf:    2.450000e+22	   -1.74      86355.00
         Troe Parameters
         a    2.49e-03
         T*** 7.18e+02
         T*   6.09e+00
         T**  3.78e+03


    162. CH3CHO (+M)  = CH4 + CO (+M) 
         Fall-off (Troe)
         k0:      1.140000e+58	  -11.30      95912.50
         kInf:    2.720000e+21	   -1.74      86355.00
         Troe Parameters
         a    2.49e-03
         T*** 7.18e+02
         T*   6.09e+00
         T**  3.78e+03


    163. O2 + CH3CHO  = HO2 + CH3CO 
         k:       3.010000e+13	    0.00      39150.00


    164. O + CH3CHO  = OH + CH3CO 
         k:       5.940000e+12	    0.00       1868.00


    165. OH + CH3CHO  = H2O + CH3CO 
         k:       3.370000e+12	    0.00       -619.00


    166. HO2 + CH3CHO  = H2O2 + CH3CO 
         k:       1.000000e+12	    0.00      11920.00


    167. H + CH3CHO  = H2 + CH2CHO 
         k:       2.720000e+03	    3.10       5210.00


    168. OH + CH3CHO  = H2O + CH2CHO 
         k:       1.720000e+05	    2.40        815.00


    169. OH + CH3CHO  = HOCHO + CH3 
         k:       3.000000e+15	   -1.08          0.00


    170. CH3CO  = CO + CH3 
         k:       1.070000e+12	    0.63      16895.50
         Pressure Logarithmic Interpolation
         1	1.000000e-01	1.960000e+16	   -2.09      15196.60
         2	1.000000e+00	6.450000e+18	   -2.52      16436.50
         3	1.000000e+01	8.180000e+19	   -2.55      17263.10
         4	1.000000e+02	1.260000e+20	   -2.32      18012.10


    171. O2 + CH3CO  = HO2 + CH2CO 
         k:       3.600000e+10	    0.54       3721.00
         Pressure Logarithmic Interpolation
         1	1.000000e-01	1.300000e+08	    1.99        228.00
         2	1.000000e+00	3.600000e+10	    0.54       3721.00
         3	1.000000e+01	7.700000e+13	   -0.34       7510.00


    172. CH3CO (+M)  = H + CH2CO (+M) 
         Fall-off (Troe)
         k0:      1.520000e+51	  -10.27      55390.00
         kInf:    9.413000e+07	    1.92      44987.20
         Troe Parameters
         a    6.01e-01
         T*** 8.10e+09
         T*   6.68e+02
         T**  5.00e+09


    173. H + CH3CO  = H2 + CH2CO 
         k:       2.000000e+13	    0.00          0.00


    174. O + CH3CO  = OH + CH2CO 
         k:       2.000000e+13	    0.00          0.00


    175. CH3 + CH3CO  = CH4 + CH2CO 
         k:       5.000000e+13	    0.00          0.00


    176. CH2CHO (+M)  = H + CH2CO (+M) 
         Fall-off (Troe)
         k0:      6.000000e+29	   -3.80      43423.90
         kInf:    1.430000e+15	   -0.15      45600.00
         Troe Parameters
         a    9.85e-01
         T*** 3.93e+02
         T*   9.80e+09
         T**  5.00e+09


    177. CH2CHO (+M)  = CO + CH3 (+M) 
         Fall-off (Troe)
         k0:      9.520000e+33	   -5.07      41300.00
         kInf:    2.930000e+12	    0.29      40300.00
         Troe Parameters
         a    7.13e-17
         T*** 1.15e+03
         T*   4.99e+09
         T**  1.79e+09


    178. O + C2H3  = H + CH2CO 
         k:       3.000000e+13	    0.00          0.00


    179. H + CH2CO  = CO + CH3 
         k:       7.770000e+08	    1.45       2780.00


    180. CH3 + HCO  = H2 + CH2CO 
         k:       4.900000e+08	    0.75        842.00
         Pressure Logarithmic Interpolation
         1	5.000000e-02	6.100000e+06	    1.24      -1733.00
         2	1.000000e-01	1.100000e+07	    1.18      -1303.00
         3	1.000000e+00	4.900000e+08	    0.75        842.00
         4	1.000000e+01	1.600000e+11	    0.11       4387.00


    181. OH + CH2CO  = CO + CH2OH 
         k:       2.000000e+12	    0.00      -1010.00


    182. CH3 + CH2CO  = CO + C2H5 
         k:       4.769000e+04	    2.31       9468.00


    183. OH + HCCO  => H2 + 2CO 
         k:       1.000000e+14	    0.00          0.00


    184. O + HCCO  => H + 2CO 
         k:       8.000000e+13	    0.00          0.00


    185. O2 + HCCO  => OH + 2CO 
         k:       1.910000e+11	   -0.02       1020.00


    186. O2 + HCCO  => H + CO + CO2 
         k:       4.780000e+12	   -0.14       1150.00


    187. C2H5OH  = H2O + C2H4 
         k:       3.410000e+59	  -14.20      83672.60
         Pressure Logarithmic Interpolation
         1	1.000000e-03	3.410000e+59	  -14.20      83672.60
         2	1.000000e-02	2.620000e+57	  -13.30      85262.20
         3	1.000000e-01	1.650000e+52	  -11.50      84745.60
         4	1.000000e+00	5.230000e+43	   -8.90      81506.70
         5	1.000000e+01	4.590000e+32	   -5.60      76062.40
         6	1.000000e+02	3.840000e+20	   -2.06      69465.50


    188. C2H5OH  = CH3 + CH2OH 
         k:       1.200000e+54	  -12.90     100005.70
         Pressure Logarithmic Interpolation
         1	1.000000e-03	1.200000e+54	  -12.90     100005.70
         2	1.000000e-02	5.180000e+59	  -14.00      99906.40
         3	1.000000e-01	1.620000e+66	  -15.30     105390.50
         4	1.000000e+00	5.550000e+64	  -14.50     106183.00
         5	1.000000e+01	1.550000e+58	  -12.30     105768.00
         6	1.000000e+02	1.780000e+47	   -8.96     101058.80


    189. C2H5OH  = OH + C2H5 
         k:       8.100000e+46	  -11.30     111053.40
         Pressure Logarithmic Interpolation
         1	1.000000e-03	8.100000e+46	  -11.30     111053.40
         2	1.000000e-02	1.860000e+56	  -13.50     107238.40
         3	1.000000e-01	4.650000e+63	  -15.00     109622.80
         4	1.000000e+00	4.460000e+65	  -14.90     112345.00
         5	1.000000e+01	2.790000e+61	  -13.40     113080.20
         6	1.000000e+02	6.170000e+51	  -10.30     109940.70


    190. HO2 + NC3H7  => OH + CH2O + C2H5 
         k:       7.000000e+12	    0.00      -1000.00


    191. CH3 + C2H3 (+M)  = C3H6 (+M) 
         Fall-off (Troe)
         k0:      4.270000e+58	  -11.94       9769.80
